mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
methanol,CH3OH,$\mathrm{CH_3OH}$,CDMS,32504,85.568131,85.55657130524109,74.65733454380734,-5.948657672397734,"$6_{2,4} – 7_{1,7}$",$0.19637528432984677 \pm 0.10075412646686545$,0.19637528432984677,$0.8306738856478207 \pm 0.4874477405837386$,0.8306738856478207,$201982611338.27664 1 / cm2 \pm 118525415611.5226 1 / cm2$,False
cyclopropenylidene,c-C3H2,$c-\mathrm{C_3H_2}$,CDMS,38508,85.656431,85.64485937648871,29.068603437282196,-4.817772991123596,"$4_{3,2} – 4_{2,3}$",$-0.002907028422640845 \pm 0.10075412646686545$,-0.002907028422640845,$0.5329298630289556 \pm 0.5963836963626901$,0.5329298630289556,$18501384882.467228 1 / cm2 \pm 20704270992.28833 1 / cm2$,False
singly-deuterated ammonia,NH2D,$\mathrm{NH_2D}$,CDMS,18501,85.92627800000001,85.91452661231833,20.678809330739917,-5.106762440821523,"$1_{1,1} – 1_{0,1}$",$0.48656780134829414 \pm 0.10075412646686545$,0.48656780134829414,$1.871905772048303 \pm 0.5945107844314754$,1.871905772048303,$127215393225.84662 1 / cm2 \pm 40403167909.30067 1 / cm2$,False
methanol,CH3OH,$\mathrm{CH_3OH}$,CDMS,32504,86.615574,86.60387280254359,102.70260497346506,-6.164856388753507,"$7_{2,6} – 6_{3,3}$",$0.16983839445537216 \pm 0.10075412646686545$,0.16983839445537216,$0.8700217496219297 \pm 0.589779604032297$,0.8700217496219297,$309052476306.59106 1 / cm2 \pm 209503782153.15805 1 / cm2$,False
formyl cation,H13CO+,$\mathrm{H^{13}CO^+}$,CDMS,30504,86.75428840000001,86.74242377255698,4.163549176885155,-4.414193295890468,$1 – 0$,$0.06890399668044786 \pm 0.10075412646686545$,0.06890399668044786,$0.6402101043537137 \pm 0.5888365852455683$,0.6402101043537137,$81017991651.76665 1 / cm2 \pm 74516720719.11356 1 / cm2$,True
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,86.819845,86.80826100678293,24.063109203408438,-4.27405655811579,"$10_{1,10} – 9_{1,9}$",$0.0707929200357473 \pm 0.10075412646686545$,0.0707929200357473,$0.07626496477631795 \pm 0.48042002518788257$,0.07626496477631795,$1000012327.7782164 1 / cm2 \pm 6299431844.077732 1 / cm2$,True
methanol,CH3OH,$\mathrm{CH_3OH}$,CDMS,32504,86.902916,86.89117598451904,102.71639521449694,-6.160008068121352,"$7_{2,5} – 6_{3,4}$",$0.2667714730011722 \pm 0.10075412646686545$,0.2667714730011722,$1.363810275413488 \pm 0.479960788906507$,1.363810275413488,$482263594450.7175 1 / cm2 \pm 169721272398.59406 1 / cm2$,True
hydrogen isocyanide,HN13C,$\mathrm{HN^{13}C}$,CDMS,28515,87.09082520000001,87.07891454735378,4.179700395948484,-4.622700178024585,$1 – 0$,$0.4183903347097474 \pm 0.10075412646686545$,0.4183903347097474,$-0.045222464064818176 \pm 0.5865611999832709$,-0.045222464064818176,$-9321438980.172022 1 / cm2 \pm 120904390038.18404 1 / cm2$,True
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,88.323735,88.31195034930008,23.450282868684862,-4.248137706485004,"$10_{0,10} – 9_{0,9}$",$0.1478279776746328 \pm 0.10235026708663039$,0.1478279776746328,$0.8702206099370401 \pm 0.4797210990780234$,0.8702206099370401,$11125195020.162975 1 / cm2 \pm 6132917011.602451 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.29766000000001,89.28574540273551,28.047587404956584,-4.250653354843418,"$10_{2,9} – 9_{2,8}$",$0.20652790040745606 \pm 0.10235026708663039$,0.20652790040745606,$1.4642334273296858 \pm 0.5811279944220914$,1.4642334273296858,$19245515069.07864 1 / cm2 \pm 7638199869.613823 1 / cm2$,False
