mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
cyclopropenylidene,c-C3H2,$c-\mathrm{C_3H_2}$,CDMS,38508,85.656431,85.64500223603822,29.068603437282196,-4.817772991123596,"$4_{3,2} – 4_{2,3}$",$0.10739609848650514 \pm 0.042272128331994493$,0.10739609848650514,$0.6832391209634645 \pm 0.2502171278914686$,0.6832391209634645,$23719575164.840828 1 / cm2 \pm 8686627844.411226 1 / cm2$,False
cyclopropenylidene,c-C3H2,$c-\mathrm{C_3H_2}$,CDMS,38508,85.656431,85.65300237081146,29.068603437282196,-4.817772991123596,"$4_{3,2} – 4_{2,3}$",$0.015543430357889174 \pm 0.042272128331994493$,0.015543430357889174,$0.03646847473117404 \pm 0.20430142941360305$,0.03646847473117404,$1266052690.7671566 1 / cm2 \pm 7092601934.776379 1 / cm2$,False
protonated carbon dioxide,HOCO+,$\mathrm{HOCO^+}$,CDMS,45522,85.8528356,85.84138063062916,47.64544497563174,-4.6503698269516365,"$4_{1,3} – 3_{1,2}$",$-0.007990353631726156 \pm 0.042272128331994493$,-0.007990353631726156,$0.10831976935419563 \pm 0.24964470888320006$,0.10831976935419563,$7708135421.433919 1 / cm2 \pm 17764949415.871494 1 / cm2$,False
protonated carbon dioxide,HOCO+,$\mathrm{HOCO^+}$,CDMS,45522,85.8528356,85.84911273495449,47.64544497563174,-4.6503698269516365,"$4_{1,3} – 3_{1,2}$",$-0.0044561672177625125 \pm 0.042272128331994493$,-0.0044561672177625125,$-0.24033469226022589 \pm 0.2496447088848246$,-0.24033469226022589,$-17102439983.534842 1 / cm2 \pm 17764949415.9871 1 / cm2$,False
hydrogen cyanide,HC15N,$\mathrm{HC^{15}N}$,CDMS,28506,86.05496640000001,86.05152181835948,4.129987014239629,-4.656932546718887,$1 – 0$,$0.2962738007075981 \pm 0.042272128331994493$,0.2962738007075981,$1.5821509833767529 \pm 0.20335527423636288$,1.5821509833767529,$344521318323.9935 1 / cm2 \pm 44281631717.92925 1 / cm2$,True
sulfur monoxide,SO,$\mathrm{SO}$,CDMS,48501,86.09394999999999,86.08246285978647,19.313831543383884,-5.279903992390899,$2_2 – 1_1$,$0.1485359897812091 \pm 0.042272128331994493$,0.1485359897812091,$0.48260359964984906 \pm 0.24894555482897546$,0.48260359964984906,$264895643933.79044 1 / cm2 \pm 136643392421.27905 1 / cm2$,True
sulfur monoxide,SO,$\mathrm{SO}$,CDMS,48501,86.09394999999999,86.09050385793594,19.313831543383884,-5.279903992390899,$2_2 – 1_1$,$0.30730224518808547 \pm 0.042272128331994493$,0.30730224518808547,$2.02601653668182 \pm 0.20326319435634066$,2.02601653668182,$1112057505360.9766 1 / cm2 \pm 111568862719.06796 1 / cm2$,True
thioxoethenylidene,CCS,$\mathrm{CCS}$,CDMS,56502,86.1814009,86.16990209159435,23.345452760153744,-4.556302808013509,$7_6 – 6_5$,$0.08605111306114574 \pm 0.042272128331994493$,0.08605111306114574,$0.5440753142996944 \pm 0.24869294217118287$,0.5440753142996944,$21749565245.38962 1 / cm2 \pm 9941571009.855848 1 / cm2$,True
thioxoethenylidene,CCS,$\mathrm{CCS}$,CDMS,56502,86.1814009,86.17795125747831,23.345452760153744,-4.556302808013509,$7_6 – 6_5$,$0.11119292667079379 \pm 0.042272128331994493$,0.11119292667079379,$0.6603057327013921 \pm 0.24869294216955865$,0.6603057327013921,$26395909238.740105 1 / cm2 \pm 9941571009.79092 1 / cm2$,True
hydrogen cyanide,H13CN,$\mathrm{H^{13}CN}$,CDMS,28501,86.33992140000001,86.33646541226865,4.143662697339339,-4.652608215315861,$1 – 0$,$0.374895991788295 \pm 0.042272128331994493$,0.374895991788295,$2.3446228067509 \pm 0.20268412349583845$,2.3446228067509,$169616068714.3756 1 / cm2 \pm 14662692915.549892 1 / cm2$,True
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,86.5461891,86.53464161949601,13.568054605903423,-5.197135209385871,"$4_{1,4} – 3_{1,3}$",$0.12400455196019444 \pm 0.042272128331994493$,0.12400455196019444,$0.4051725143195495 \pm 0.247644712876256$,0.4051725143195495,$103189041670.49452 1 / cm2 \pm 63069975611.20757 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,86.5461891,86.5424361688362,13.568054605903423,-5.197135209385871,"$4_{1,4} – 3_{1,3}$",$0.13872998182665053 \pm 0.042272128331994493$,0.13872998182665053,$1.2252890011657913 \pm 0.24764471287788062$,1.2252890011657913,$312055712890.67804 1 / cm2 \pm 63069975611.62132 1 / cm2$,False
formyl cation,H13CO+,$\mathrm{H^{13}CO^+}$,CDMS,30504,86.75428840000001,86.75081582611425,4.163549176885155,-4.414193295890468,$1 – 0$,$0.5476494766728587 \pm 0.042272128331994493$,0.5476494766728587,$3.887040499746219 \pm 0.24705068239739197$,3.887040499746219,$491901350223.8098 1 / cm2 \pm 31264033460.14146 1 / cm2$,True
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,87.59733,87.5856422703507,53.78584264582957,-5.094504764295611,"$4_{1,4} – 3_{1,3}$",$0.12744057764943406 \pm 0.03923023854335477$,0.12744057764943406,$0.7350850187702627 \pm 0.22706645267600173$,0.7350850187702627,$151421159909.2422 1 / cm2 \pm 46773726525.1258 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,87.59733,87.59382368110522,53.78584264582957,-5.094504764295611,"$4_{1,4} – 3_{1,3}$",$0.02863767846707989 \pm 0.03923023854335477$,0.02863767846707989,$0.6157932761392562 \pm 0.22706645267449407$,0.6157932761392562,$126848092066.01471 1 / cm2 \pm 46773726524.81522 1 / cm2$,False
formamide,HC(O)NH2,$\mathrm{HC(O)NH_2}$,CDMS,45512,87.8488735,87.83715220799871,13.524535740866202,-4.366655325233943,"$4_{1,3} – 3_{1,2}$",$0.41633650010546724 \pm 0.03923023854335477$,0.41633650010546724,$1.9222208941685857 \pm 0.22641627825665608$,1.9222208941685857,$74523545283.46814 1 / cm2 \pm 8778046173.966091 1 / cm2$,False
formamide,HC(O)NH2,$\mathrm{HC(O)NH_2}$,CDMS,45512,87.8488735,87.84506408009958,13.524535740866202,-4.366655325233943,"$4_{1,3} – 3_{1,2}$",$0.5501764463851545 \pm 0.03923023854335477$,0.5501764463851545,$4.322581441707537 \pm 0.22641627825740998$,4.322581441707537,$167584326437.10422 1 / cm2 \pm 8778046173.995323 1 / cm2$,False
cyanodiacetylene,HC5N,$\mathrm{HC_5N}$,CDMS,75503,87.86363,87.860113021731,71.68707982582808,-4.137233319582108,$33 – 32$,$0.2608124472215538 \pm 0.03923023854335477$,0.2608124472215538,$1.914698872093343 \pm 0.22637825214826582$,1.914698872093343,$1960473748.3277206 1 / cm2 \pm 231790297.15715656 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,87.925237,87.91350551915,10.54935696366639,-5.05658786160809,"$4_{0,4} – 3_{0,3}$",$3.817414406579061 \pm 0.03923023854335477$,3.817414406579061,$18.702794766741736 \pm 0.18470755819535906$,18.702794766741736,$3557000774539.2036 1 / cm2 \pm 35128703263.77408 1 / cm2$,True
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,87.925237,87.921717555745,10.54935696366639,-5.05658786160809,"$4_{0,4} – 3_{0,3}$",$3.285446004141717 \pm 0.03923023854335477$,3.285446004141717,$24.67906509596831 \pm 0.2262196346070296$,24.67906509596831,$4693600863190.978 1 / cm2 \pm 43023699160.944305 1 / cm2$,True
cyanoacetylene,H13CCCN,$\mathrm{H^{13}CCCN}$,CDMS,52509,88.166832,88.15506828418297,23.27254540771674,-4.276561747085179,$10 – 9$,$0.1517466361655906 \pm 0.03923023854335477$,0.1517466361655906,$0.6045626585064 \pm 0.22559974693101972$,0.6045626585064,$8222412254.27788 1 / cm2 \pm 3068290933.334195 1 / cm2$,False
cyanoacetylene,H13CCCN,$\mathrm{H^{13}CCCN}$,CDMS,52509,88.166832,88.16300879235946,23.27254540771674,-4.276561747085179,$10 – 9$,$0.32158750200879843 \pm 0.03923023854335477$,0.32158750200879843,$2.3982288288098554 \pm 0.22559974693026583$,2.3982288288098554,$32617340540.492363 1 / cm2 \pm 3068290933.3239417 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,88.23902000000001,88.22724665245302,53.86282364647492,-5.084945854565236,"$4_{1,3} – 3_{1,2}$",$0.050424526922608064 \pm 0.03923023854335477$,0.050424526922608064,$0.438346879456363 \pm 0.22541518465339902$,0.438346879456363,$89628808005.46576 1 / cm2 \pm 46090653894.63408 1 / cm2$,False
isocyanic acid,HNCO,$\mathrm{HNCO}$,CDMS,43511,88.23902000000001,88.23548799573592,53.86282364647492,-5.084945854565236,"$4_{1,3} – 3_{1,2}$",$0.010584542702451257 \pm 0.03923023854335477$,0.010584542702451257,$-0.44879432504963396 \pm 0.22541518465339894$,-0.44879432504963396,$-91764997719.84937 1 / cm2 \pm 46090653894.63406 1 / cm2$,False
formic acid,t-HCOOH,$t-\mathrm{HCOOH}$,CDMS,46506,89.5791785,89.56722634095001,10.762396008462783,-5.124443506418374,"$4_{0,4} – 3_{0,3}$",$0.07941000835639832 \pm 0.03407304985258435$,0.07941000835639832,$0.4042418452221705 \pm 0.1928534659587971$,0.4042418452221705,$93295655299.07314 1 / cm2 \pm 44508975743.060165 1 / cm2$,False
